epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.7279,1.80382,4.15798,1.16909,0.02117,0.0387,0.01667,0.00564,1.8871,4.46981,1.30477,0.08765,0.00065,0.00065
2,189.327,1.79095,2.92916,1.24659,0.02792,0.13731,0.04766,0.02432,1.9529,4.33343,1.37027,0.0743366,0.00133664,0.00133664
3,284.261,1.76505,2.35446,1.16909,0.02773,0.16551,0.03767,0.02132,2.4346,4.65761,2.03138,0.0610094,0.00200941,0.00200941
4,376.239,1.71418,2.10513,1.13929,0.08548,0.26889,0.1066,0.04993,1.85541,7.03565,1.38159,0.0476683,0.00266833,0.00266833
5,462.838,1.70494,1.97372,1.13685,0.11299,0.03594,0.06689,0.04026,1.82333,63.1791,1.57527,0.0343134,0.00331338,0.00331338
6,553.966,1.6699,1.73485,1.11687,0.2237,0.00805,0.01418,0.00858,1.83633,32.7534,1.57779,0.0209446,0.00394457,0.00394457
7,643.886,1.57623,1.61558,1.11551,0.1432,0.20129,0.10374,0.05457,1.82619,20.2083,1.36153,0.00756191,0.00456191,0.00456191
1,96.1765,1.80382,4.15798,1.16909,0.0209,0.03109,0.01542,0.00519,1.8871,4.46981,1.30477,0.08765,0.00065,0.00065
2,191.744,1.79974,2.94456,1.25095,0.02654,0.14127,0.05607,0.03123,1.98609,4.36961,1.41883,0.0743483,0.00134833,0.00134833
3,286.254,1.76648,2.35707,1.16292,0.05724,0.18231,0.05276,0.03034,2.04884,4.18619,1.71556,0.0610449,0.00204493,0.00204493
4,378.542,1.71569,2.10605,1.13942,0.34955,0.25707,0.11835,0.06443,1.71173,3.55902,1.2946,0.0477398,0.00273979,0.00273979
5,469.351,1.69667,1.9767,1.13408,0.33744,0.19514,0.15081,0.0795,1.88158,12.4751,1.47764,0.0344329,0.00343292,0.00343292
6,560.993,1.64541,1.74301,1.1107,0.20184,0.27306,0.13512,0.07379,1.67054,20.8743,1.31072,0.0211243,0.00412432,0.00412432
7,652.991,1.56663,1.59817,1.11621,0.21004,0.21485,0.09308,0.0471,1.65053,41.3221,1.26564,0.00781399,0.00481399,0.00481399
8,745.282,1.54524,1.72727,1.10367,0.15634,0.27157,0.16286,0.09573,1.68542,82.7304,1.37855,0.00495669,0.00495669,0.00495669
9,838.05,1.57397,1.64606,1.14487,0.4111,0.32511,0.22332,0.12835,1.77636,12.0902,1.39144,0.0049505,0.0049505,0.0049505
10,933.263,1.5166,1.5189,1.11352,0.40083,0.33171,0.25041,0.15568,1.56441,3.49603,1.21006,0.00494431,0.00494431,0.00494431
11,1027.04,1.69552,1.71687,1.19046,0.33128,0.34665,0.29881,0.16434,1.76785,2.86565,1.27289,0.00493813,0.00493813,0.00493813
12,1118.5,1.54442,1.44876,1.10336,0.2847,0.42609,0.2945,0.1788,1.681,13.1483,1.31126,0.00493194,0.00493194,0.00493194
13,1209.35,1.49844,1.27047,1.06501,0.53254,0.39318,0.44914,0.27958,1.57977,3.54016,1.20081,0.00492575,0.00492575,0.00492575
14,1300.93,1.44582,1.40422,1.06,0.62376,0.28907,0.32413,0.20894,1.65436,2.76056,1.26003,0.00491956,0.00491956,0.00491956
15,1389,1.4617,1.33322,1.07259,0.42423,0.61666,0.51896,0.32946,1.54486,2.28523,1.18826,0.00491338,0.00491338,0.00491338
16,1476.66,1.40029,1.18428,1.06147,0.40035,0.63561,0.50654,0.31929,1.41904,3.34006,1.0812,0.00490719,0.00490719,0.00490719
17,1566.93,1.43569,1.1671,1.03716,0.47808,0.45649,0.4048,0.25989,1.39063,1.94409,1.02132,0.004901,0.004901,0.004901
18,1653.67,1.37236,1.15035,1.04175,0.62045,0.53355,0.57696,0.37375,1.36459,1.25519,1.01714,0.00489481,0.00489481,0.00489481
19,1742.4,1.43345,1.12984,1.06795,0.71136,0.46768,0.46381,0.29706,1.51439,1.78885,1.07317,0.00488863,0.00488863,0.00488863
20,1829.08,1.45062,1.27772,1.08621,0.37477,0.1357,0.13897,0.08725,1.84011,3.54786,1.41177,0.00488244,0.00488244,0.00488244
21,1917.32,1.45917,1.1857,1.0533,0.10447,0.25775,0.10224,0.06146,2.44699,4.74805,2.21561,0.00487625,0.00487625,0.00487625
22,2006.37,1.40505,1.14517,1.03767,0.48285,0.45492,0.3699,0.21875,1.43697,1.89011,1.06553,0.00487006,0.00487006,0.00487006
23,2094.01,1.36494,1.09752,1.03,0.59086,0.61271,0.60283,0.3979,1.21569,1.28096,0.97099,0.00486388,0.00486388,0.00486388
24,2184.99,1.40338,1.04796,1.03158,0.6731,0.5384,0.63498,0.4221,1.25478,1.4684,0.97258,0.00485769,0.00485769,0.00485769
25,2284.98,1.39102,1.0732,1.03419,0.68877,0.64321,0.63938,0.42685,1.41611,1.42957,1.0538,0.0048515,0.0048515,0.0048515
26,2376.67,1.40561,1.0408,1.05063,0.54919,0.47902,0.47999,0.31728,1.45084,2.03893,1.06027,0.00484531,0.00484531,0.00484531
27,2469.34,1.39572,1.00204,1.01983,0.65332,0.57998,0.58482,0.3861,1.14243,1.74461,0.95449,0.00483913,0.00483913,0.00483913
28,2562.65,1.36568,1.06477,1.02388,0.72642,0.63487,0.61051,0.4069,1.29114,0.96033,1.00239,0.00483294,0.00483294,0.00483294
29,2653.39,1.42008,1.08378,1.05289,0.74843,0.60781,0.64316,0.42528,1.31672,1.10268,1.02462,0.00482675,0.00482675,0.00482675
30,2743.7,1.40441,1.02129,1.05158,0.83713,0.52904,0.63889,0.42224,1.2246,1.24515,0.97096,0.00482056,0.00482056,0.00482056
31,2834.72,1.35415,0.96942,1.03855,0.6499,0.6465,0.59037,0.36774,1.18971,0.92738,0.96899,0.00481438,0.00481438,0.00481438
